TABLE_SCHEMA;TABLE_NAME;SoDong
dbo;DTACHVANDON_CT_NHANH_CT;0
dbo;DTAMCANTRU;0
dbo;DTBLP_CT;0
dbo;DTBT_CT;0
dbo;DTHXNTNPL;0
dbo;DTLNPLCTX;0
dbo;DTLNPLCTX_PH;0
dbo;DTLNPLCTX_TH;0
dbo;DTLNPLNT;0
dbo;DTLNPLNT_PH;0
dbo;DTLNPLNT_TH;0
dbo;DTLNPLSD;0
dbo;DTLNPLSD_PH;0
dbo;DTLNPLSD_TH;0
dbo;DTLNPLTH;0
dbo;DTLNPLTH_TH;0
dbo;DTLNPLTX;0
dbo;DTLNPLTX_PH;0
dbo;DTLNPLTX_TH;0
dbo;DTLNPLXH;0
dbo;DTLNPLXH_PH;0
dbo;DTLNPLXH_TH;0
dbo;DTLPHAT;0
dbo;DToKhaiMD_ChungThuGD;0
dbo;DTOKHAIMD_ChungTuNo;0
dbo;DToKhaiMD_ChuyenCK;0
dbo;DTOKHAIMD_CO;0
dbo;DTOKHAIMD_DeNghiChuyenCK;0
dbo;DTOKHAIMD_GIAYKETQUAKT;0
dbo;DToKhaiMD_GiayKiemTraCL;0
dbo;DToKhaiMD_GiayNopTien;0
dbo;DTOKHAIMD_GP;0
dbo;DTOKHAIMD_HoaDonTM;0
dbo;DTOKHAIMD_HOPDONGTM;0
dbo;DTOKHAIMD_HOSO;0
dbo;DTOKHAIMD_REP;0
dbo;DTOKHAIMD_SUA;0
dbo;DTOKHAIMD_ThanhKhoan;0
dbo;DTOKHAIMD_ThuCong;0
dbo;DTOKHAIMD_UYQUYEN;0
dbo;DTOKHAINP_BIENLAI;0
dbo;DTOKHAINP_FILE;0
dbo;DTOKHAINP_HUY;0
dbo;DTOKHAINT;0
dbo;DTON_DNPLNHAP;0
dbo;DTON_DNPLTXUAT;0
dbo;DTON_DNPLXUAT;0
dbo;DTraCuu;0
dbo;DVC_ACCOUNT;0
dbo;DVC_DHOSO;0
dbo;DVC_DHOSO_BOSUNG;0
dbo;DVC_DHOSO_DINHKEM;0
dbo;DVC_DHOSO_OUT_REP;0
dbo;DVC_DHOSO_QUYDINH;0
dbo;DVC_DINHKEM_REP;0
dbo;DVC_DINHKEM_REP_XL;0
dbo;E_DaiLy_DoanhNghiep;0
dbo;E_TRINH_KY_REF;0
dbo;E_TRINH_KY_SVR;0
dbo;E_TRINH_KY_UQ;0
dbo;ECX_NPLNHAP;0
dbo;ECX_NPLNHAP_TL;0
dbo;ECX_NPLSD_TL;0
dbo;ECX_NPLTX_TL;0
dbo;ECX_NPLXUAT;0
dbo;ECX_NPLXUAT_TL;0
dbo;EINBC_TL_NPL;0
dbo;EINBC_TL_TK;0
dbo;ENPLCU_TL;0
dbo;ENPLNHAP;0
dbo;ENPLNHAP_TL;0
dbo;ENPLXUAT;0
dbo;ENPLXUAT_AM_TL;0
dbo;ENPLXUAT_TL;0
dbo;ETHUE_TL;0
dbo;ETLNPLNT_CT;0
dbo;ETLNPLSD;0
dbo;ETLNPLSD_TH;0
dbo;ETLNPLTX_CT;0
dbo;ETLNPLXH_CT;0
dbo;FUR_ERRLOG;0
dbo;FUR_IMPORTLOG;0
dbo;GC_CHOTTON;0
dbo;GC_CHOTTON_CHITIET;0
dbo;GC_CHOTTON_HD;0
dbo;GC_DDINHMUC;0
dbo;GC_DDINHMUC_SUA;0
dbo;GC_DDINHMUC_TT;0
dbo;GC_DDINHMUC_VN;0
dbo;GC_KBDM;0
dbo;GC_KBDM_LANSUA;0
dbo;GC_KBDM_SUA;0
dbo;GC_KBNPLCU;0
dbo;GC_KBNPLCU_LANSUA;0
dbo;GC_KBNPLTX;0
dbo;GC_KBTL_BS;0
dbo;GC_KBTL_CT;0
dbo;GC_KBTL_HDGC;0
dbo;GC_KBTL_KQ_NPL;0
dbo;GC_KBTL_KQ_TB;0
dbo;GC_KBTL_NPL_BT;0
dbo;GC_KBTL_NPL_BT_BB;0
dbo;GC_KBTL_NPL_HUY;0
dbo;GC_KBTL_NPL_HUY_BB;0
dbo;GC_KBTL_TH;0
dbo;GC_KBTL_TH_NPL;0
dbo;GC_KBTL_TH_TB;0
dbo;GC_KBTLGH_HDGC;0
dbo;GC_NPLAM;0
dbo;GC_NPLCU;0
dbo;GC_NPLCU_SUA;0
dbo;GC_NPLNHAP;0
dbo;GC_NPLSD;0
dbo;GC_NPLTX;0
dbo;GC_NPLXUAT;0
dbo;GC_SP_DM_SUA;0
dbo;GC_SPCU;0
dbo;GC_SPCU_SUA;0
dbo;GC_TKNCU;0
dbo;GC_TKNCU_SUA;0
dbo;GC_TKXCU;0
dbo;GC_TKXCU_SUA;0
dbo;GC_TKXTX;0
dbo;GC_TRANGIN;0
dbo;GOPY;0
dbo;HDGC;0
dbo;HDGC_CHUNGTUKEM;0
dbo;HM_HD;0
dbo;HM_HD_TMP;0
dbo;HNR_EILIS;0
dbo;HNR_EILIS_CHITIET;0
dbo;HNR_EILIS_CODE;0
dbo;ImportTK;0
dbo;KB_BCQT_MM;0
dbo;KB_BCQT_MM_CHITIET;0
dbo;KB_BCQT_NL;0
dbo;KB_BCQT_NL_CHITIET;0
dbo;KB_BCQT_NL_NN;0
dbo;KB_BCQT_NL_NN_CHITIET;0
dbo;KB_CSSX;0
dbo;KB_CSSX_CHINHANH;0
dbo;KB_CSSX_CHUKY;0
dbo;KB_CSSX_CUNGUNG;0
dbo;KB_CSSX_DIADIEM;0
dbo;KB_CSSX_DINHKEM;0
dbo;KB_CSSX_KIEMTRA;0
dbo;KB_CSSX_ME;0
dbo;KB_CSSX_NANGLUC;0
dbo;KB_CSSX_THANHVIEN;0
dbo;KB_CSSX_THONGTIN;0
dbo;KB_DKLNG;0
dbo;KB_PHIEUNX;0
dbo;KB_PHIEUNX_CHITIET;0
dbo;KB_TIEUHUY;0
dbo;KB_TIEUHUY_CHITIET;0
dbo;KBDM;0
dbo;KBDM_LANSUA;0
dbo;KBDM_SUA;0
dbo;KBHM;0
dbo;KBHM_LANSUA;0
dbo;KBHM_SUA;0
dbo;KBNPL;0
dbo;KBNPL_LANSUA;0
dbo;KBNPL_SUA;0
dbo;KBSP;0
dbo;KBSP_LANSUA;0
dbo;KBSP_SUA;0
dbo;KBT_DDSTKNFIFO;0
dbo;KBT_DDSTKXFIFO;0
dbo;KBT_ENPLAM_TL;0
dbo;KBT_ENPLNHAP;0
dbo;KBT_ENPLNHAP_TL;0
dbo;KBT_ENPLXUAT_TL;0
dbo;KBT_ETLNPLSD;0
dbo;KBT_LANTL;0
dbo;KBTB;0
dbo;KBTB_LANSUA;0
dbo;KBTB_SUA;0
