Bang_Con;Cot_KhoaNgoai;Bang_Cha;Cot_KhoaChinh;CONSTRAINT_NAME
DNPLSDMAN;MA_HQ;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;MA_DV;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_DV;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQ;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_HQX;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;MA_LHX;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;NAMDKX;DDSTKXFIFO;LAN_TL;FK_DNPLSDMAN_DDSTKXFIFO
DNPLSDMAN;LAN_TL;DDSTKNFIFO;SOTK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_DV;DDSTKNFIFO;SOTK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_HQ;DDSTKNFIFO;SOTK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_LH;DDSTKNFIFO;SOTK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;NAMDK;DDSTKNFIFO;SOTK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTK;DDSTKNFIFO;SOTK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;LAN_TL;DDSTKNFIFO;NAMDK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_DV;DDSTKNFIFO;NAMDK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_HQ;DDSTKNFIFO;NAMDK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_LH;DDSTKNFIFO;NAMDK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;NAMDK;DDSTKNFIFO;NAMDK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTK;DDSTKNFIFO;NAMDK;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;LAN_TL;DDSTKNFIFO;MA_LH;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_DV;DDSTKNFIFO;MA_LH;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_HQ;DDSTKNFIFO;MA_LH;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_LH;DDSTKNFIFO;MA_LH;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;NAMDK;DDSTKNFIFO;MA_LH;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTK;DDSTKNFIFO;MA_LH;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;LAN_TL;DDSTKNFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKNFIFO
